                from address                | transactions | min fee starting at 0.5 |   max fee    |        avg fee
 dQHS29VZs1NMnHFSksRERoBNaLHdweHMtu         |            5 |              0.68100000 |   1.75000000 | 0.89860000000000000000
 df1qzh8lca93zv8n32unkpfewjh5myy67g9puh52wk |            4 |              0.60300000 |   3.01500000 |     1.8090000000000000
 dU5EfBfwgbM3u911gATU4sxacNS4vTCrB6         |            2 |              1.00000000 |   1.00000000 | 1.00000000000000000000
 dF7AtGR1VubbwN4WQL82Hd2Scce2jQDAtv         |            2 |              1.18450000 |   1.76000000 | 1.47225000000000000000
 df1qgelqd5jtqhpkxyua93nmamjqvuypytnqc6flmk |            2 |              0.64241409 |   0.64880627 | 0.64561018000000000000
 df1qlfjfqk9esu95jzedk5auuh6jvshkxmpk99flxa |            2 |              0.60600000 |   0.63757260 | 0.62178630000000000000
 df1q2a0weg496507qeq8479fal3c8ynuq6t5j58z2d |            2 |              2.29211339 |   2.29211339 |     2.2921133900000000
 df1q5emla7d2c42rqu0ax84twccljf6378e53gdup5 |            1 |             40.52968140 |  40.52968140 |    40.5296814000000000
 df1qjc6wrq6jj2xgvytjp6hmy5mf6cwslaqm00mz3z |            1 |             82.78063200 |  82.78063200 |    82.7806320000000000
 df1qc04v9j7esg5pk9gv7323fhe8e9llpr7lvtg0p2 |            1 |             26.92060696 |  26.92060696 |    26.9206069600000000
 df1qg0v75wjdj7kjrd306zzx78v3tx3kw83usezx79 |            1 |              4.50000000 |   4.50000000 |     4.5000000000000000
 dFTZwS1XBX7t2ixwCDPvnnKu8RHoYQGFc5         |            1 |              0.69740000 |   0.69740000 | 0.69740000000000000000
 dadS46mL35j2X7icfGpiKVDWFRuRcJJ3ci         |            1 |              0.66570000 |   0.66570000 | 0.66570000000000000000
(60 rows)
