dc_tx_id,block_height,txn,gained_a,amount_a,token_a,gained_b,amount_b,token_b,shares
752989e39d213a4c9fc42e1a34f55a8b55206dec7069768e604bc39085e8fba4,2631880,1,0,-1332994.48550499,DFI,0,-917261.97823819,DUSD,1074800.28999428
81810c733eee97e8f9f7e716547cb621f5912157a9b853da144f1a7b44387c0c,2631767,1,-384.99213648,915632.90856588,DUSD,-0.00000001,1332993.56345838,DFI,-1073845.06811477
c5d22f9e551d6169cf8764b172506e4b41500647c5d5c3917e46862886c18f89,2631766,32,0,-1332993.56345839,DFI,0,-916017.90070236,DUSD,1073845.06811477
57b9a7f39bab661ae92ebbfa5c11bde8e78bb4d2da9a555284b37b9acaf44fa9,2631669,8,-190.78120191,910122.90123966,DUSD,279.34963774,1332991.92481006,DFI,-1070622.43801671
815b433e4e655842acf38872ba3611e5d3249ea777dd13013074559884cf0f85,2631666,1,0,-1332712.57517232,DFI,0,-910313.68244157,DUSD,1070622.43801671
90060bba43400da8f7c74e3671c6690e7210e27ca8cd6d87d5599cc939d4b63c,2631563,6,-381.01137552,910372.30738610,DUSD,-0.00000001,1332710.21707553,DFI,-1070655.97129380
845b5d44cdc48ca245481ea773e061493c4d0eef9cc1ae499c58bf4ad8f8a6ff,2631558,60,0,-1332710.21707554,DFI,0,-910753.31876162,DUSD,1070655.97129380
fb833db4e0e1afcb20e307bc4fcf6f0dce32d534b588c3c614d19343defa68b3,2631461,9,-380.62221516,909907.94867259,DUSD,0.00000000,1332708.94125955,DFI,-1070396.16916114
7b5e471d7973209c5f7ca05a5ac055a0cfc257c2c0703bcf11557feb10ab79cd,2631459,20,0,-1332708.94125955,DFI,0,-910288.57088775,DUSD,1070396.16916114
3b7d863c1277ceb72243242afea8f5709554e1dd6243f5f81f014d6084271103,2631367,1,-380.87471698,910303.13709844,DUSD,-0.00000001,1332708.02392914,DFI,-1070642.01508215
a60f20f1b21db574d81d4b0c080d98c149a75a0cb11bf45a8d983d7afdb9cb0d,2631366,17,0,-1332708.02392915,DFI,0,-910684.01181542,DUSD,1070642.01508215
9e7199a0d04335ac9bd4771d9cf6763f81e8f59ad4ce04d579c146a8147f9afe,2631297,13,-83.39241588,910684.65276138,DUSD,122.04415324,1332706.70411022,DFI,-1070879.62362990
6d6b3ee3339d288440cfdcc42d67c74bcf3b57ca2d450c90879a9ccb6b8b261b,2631294,1,0,-1332584.65995698,DFI,0,-910768.04517726,DUSD,1070879.62362990
9e505fd90e0e83cf4d2f5f679b40af4d170bc9f4ba629156e031baae44a62bd4,2631254,51,-354.24880127,842163.58448230,DUSD,-0.00000001,1232583.80698817,DFI,-990366.21556817
249483b821f2d7497e794c135eeb88323a8b75f68bde3f99fab5cbbe61cb0340,2631253,7,0,-1232583.80698818,DFI,0,-842517.83328357,DUSD,990366.21556817
7ea5cd4ff01a0db25369adbaa91474b79f1d68136cd4cf18b045bbdcfaed96c8,2631085,2,-127.66147693,597625.26568254,DUSD,186.83771933,874856.73458923,DFI,-702874.05698355
