abs fee rates diff (0.55),TX 1,higher fee rate,lower txn,from - TX 1,to - TX 1,block height,block hash,master node,TX 2,lower fee rate,higher txn,from - TX 2,to - TX 2
713.98391098,91be8097951993209fa1c2334ecdd9ba236e6fa9947c4b244cb2d27b304bde0a,856.53710248,11,df1qzh8lca93zv8n32unkpfewjh5myy67g9puh52wk,df1qzh8lca93zv8n32unkpfewjh5myy67g9puh52wk,2256331,f8b2790053f888e1c80a54077e7c6cca9433c1db4a2b23cca4531f108c784419,568f99a9a87e5a90a649066b490209b3a920f2c4a0a635617fac271ceebf53f1,3ab3e68c73785ee5d9eec44ee51fa6e03291f5e0fea75ca8b3a005e9e82d6f0f,142.55319150,3,df1qs7uza0nxz9pq9tuwrh7dmslfkqs63aey7yeghv,df1qs7uza0nxz9pq9tuwrh7dmslfkqs63aey7yeghv
713.98391098,c81dc04a1c0edc49d6b6cd32c9e265dde9e3888bd361dea37befdf725729e07b,856.53710248,9,df1qzh8lca93zv8n32unkpfewjh5myy67g9puh52wk,df1qzh8lca93zv8n32unkpfewjh5myy67g9puh52wk,2256331,f8b2790053f888e1c80a54077e7c6cca9433c1db4a2b23cca4531f108c784419,568f99a9a87e5a90a649066b490209b3a920f2c4a0a635617fac271ceebf53f1,3ab3e68c73785ee5d9eec44ee51fa6e03291f5e0fea75ca8b3a005e9e82d6f0f,142.55319150,3,df1qs7uza0nxz9pq9tuwrh7dmslfkqs63aey7yeghv,df1qs7uza0nxz9pq9tuwrh7dmslfkqs63aey7yeghv
2.23733766,17577d7b14e8db072e94e3a8b39820dd7c91038cb4be36ece9b2284212ec9e4e,2.94805195,4,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256315,33abf44e27aef5765442cb7944e8dfaee18bd7c2db40b87fdb24776b8e91d86d,da98746008e66c1dede8598de8a7ebac3238f9fd198f7b4242043cec400e6957,42e89e7a321c83e327f0f15036c5ab31cb524c7045b236905b0fa3b02e9d4be6,0.71071429,2,dLdSCLS6e2eNiYvwqFmdvc5RQ1xnAizwyR,dLdSCLS6e2eNiYvwqFmdvc5RQ1xnAizwyR
2.23733766,642ce90e09177c0783daf89438ff09c3d45223574b438dd46527679c3a19abec,2.94805195,5,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256315,33abf44e27aef5765442cb7944e8dfaee18bd7c2db40b87fdb24776b8e91d86d,da98746008e66c1dede8598de8a7ebac3238f9fd198f7b4242043cec400e6957,42e89e7a321c83e327f0f15036c5ab31cb524c7045b236905b0fa3b02e9d4be6,0.71071429,2,dQgNgXuuwKEzocdazw5g5mbUhzhowowTyd,dQgNgXuuwKEzocdazw5g5mbUhzhowowTyd
141945.97686116,4d38013243d360e739907193a5c4fa6fbbee96f16f935882c42c0f34dcd688fb,193629.11971831,4,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256215,b866f6f02258fb44ffaf8b20ad1c090d18644cf9531db84af6140bd6011f172e,ff75cba88b6f3618bf049ca63432a4fa0f0f74820b650a2720b7a5a811cfffdd,b9f4c87c3d94c1b432180ac6434db842b6d6d3686c2334e615d61cd329952cc6,51683.14285715,2,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy,df1qamj6pp30h9y3syqcz8nwnekzg8dswul3tw5kjy
6236.72370234,2700478df45de68038d8b2a99bfa8fa6359ad95ec4824f1baf05ca0d6e21bf4e,613826.36655949,2,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256186,35f131e99796f1619fb06e484057c4e58770ac0c153d9961bc61a35aba7b000a,cfd40df01501e66f6a4c825c448afd385c2de8935dc562a513714484a7c9a9a4,762f4dcdf86c04cc47bb68d9d899095f35d514eb1cc1c06a6b8753d816f54433,607589.64285715,1,dT7akH4RTNXRwP2oaf38kPn8Jbr7erNmWS,dT7akH4RTNXRwP2oaf38kPn8Jbr7erNmWS
2.24748507,c5809bb2a37aa9ce6510aa643e20cc7204144510d83cfce45d4e773bc08f7ce4,2.95819936,8,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256130,a88c0f7ae5aa196589124a8dfa056e8cf46e89e6cee467c052821ecdaaebddde,e181f797ed71553c779498e99bf9c55ae5be21657dc4d55c63f0c595c10fbcf6,8cde3ef3dde7033782420ef1ef1a92a967c9caab7321881dee3e6474ef1d8b01,0.71071429,2,dQPWpwTnr9nNH73NhjSHmsa2htXfy8j2rU,dQPWpwTnr9nNH73NhjSHmsa2htXfy8j2rU
2.23733766,de5cc7441105b7f2c29050199b66c69f2de3c487ae999fef36cd4bb57ae6c30b,2.94805195,4,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256130,a88c0f7ae5aa196589124a8dfa056e8cf46e89e6cee467c052821ecdaaebddde,e181f797ed71553c779498e99bf9c55ae5be21657dc4d55c63f0c595c10fbcf6,8cde3ef3dde7033782420ef1ef1a92a967c9caab7321881dee3e6474ef1d8b01,0.71071429,2,dQgNgXuuwKEzocdazw5g5mbUhzhowowTyd,dQgNgXuuwKEzocdazw5g5mbUhzhowowTyd
2.23733766,6e1f4d5f273879fddfbeeaa57a086821172a3d5399b856c56da54ac2cc81eaab,2.94805195,7,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256130,a88c0f7ae5aa196589124a8dfa056e8cf46e89e6cee467c052821ecdaaebddde,e181f797ed71553c779498e99bf9c55ae5be21657dc4d55c63f0c595c10fbcf6,8cde3ef3dde7033782420ef1ef1a92a967c9caab7321881dee3e6474ef1d8b01,0.71071429,2,dandjEzDv9LWfTFgoXFcN9YAcZTrLL3Pv6,dandjEzDv9LWfTFgoXFcN9YAcZTrLL3Pv6
0.76838539,f064d2a3082482bdfd8196b1ca79a1f0827ffea9f8555b02b853e4191481c8d1,1.47909968,12,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256130,a88c0f7ae5aa196589124a8dfa056e8cf46e89e6cee467c052821ecdaaebddde,e181f797ed71553c779498e99bf9c55ae5be21657dc4d55c63f0c595c10fbcf6,8cde3ef3dde7033782420ef1ef1a92a967c9caab7321881dee3e6474ef1d8b01,0.71071429,2,dP3becdeNDPsdEGd1dYqqYwW213tuAkB5B,dP3becdeNDPsdEGd1dYqqYwW213tuAkB5B
0.76501387,f3eba548d6fafd6935feb3ac7111c1a2e7ac58a70afe5b478e5436920354fb3e,1.47572816,11,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256130,a88c0f7ae5aa196589124a8dfa056e8cf46e89e6cee467c052821ecdaaebddde,e181f797ed71553c779498e99bf9c55ae5be21657dc4d55c63f0c595c10fbcf6,8cde3ef3dde7033782420ef1ef1a92a967c9caab7321881dee3e6474ef1d8b01,0.71071429,2,dEqajtrqeN4a2kqUBerz3woNAkkHyT5QWp,dEqajtrqeN4a2kqUBerz3woNAkkHyT5QWp
2.23733766,afcc92b0f3572650bd322c38b87fde52070d333d5a433df9f8087897c88cfd65,2.94805195,6,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256130,a88c0f7ae5aa196589124a8dfa056e8cf46e89e6cee467c052821ecdaaebddde,e181f797ed71553c779498e99bf9c55ae5be21657dc4d55c63f0c595c10fbcf6,8cde3ef3dde7033782420ef1ef1a92a967c9caab7321881dee3e6474ef1d8b01,0.71071429,2,daMEsTfnSdy2Yf2wCHxTNgPXeu9tuLa2jA,daMEsTfnSdy2Yf2wCHxTNgPXeu9tuLa2jA
0.76501387,1d99f713a802ac8e54bdc9c63e2b042b1cce2f1bce8905816188092f4ce0a708,1.47572816,9,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256130,a88c0f7ae5aa196589124a8dfa056e8cf46e89e6cee467c052821ecdaaebddde,e181f797ed71553c779498e99bf9c55ae5be21657dc4d55c63f0c595c10fbcf6,8cde3ef3dde7033782420ef1ef1a92a967c9caab7321881dee3e6474ef1d8b01,0.71071429,2,dEqajtrqeN4a2kqUBerz3woNAkkHyT5QWp,dEqajtrqeN4a2kqUBerz3woNAkkHyT5QWp
2.23733766,be5e702e6944df8a3153e8c27485197bd9e48b0ca05fc00711cbeeffcd05e634,2.94805195,5,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,df1qzcsshsd3zmuzplj3rqy4s25sw02tg4h7nyh4fu,2256130,a88c0f7ae5aa196589124a8dfa056e8cf46e89e6cee467c052821ecdaaebddde,e181f797ed71553c779498e99bf9c55ae5be21657dc4d55c63f0c595c10fbcf6,8cde3ef3dde7033782420ef1ef1a92a967c9caab7321881dee3e6474ef1d8b01,0.71071429,2,dLdSCLS6e2eNiYvwqFmdvc5RQ1xnAizwyR,dLdSCLS6e2eNiYvwqFmdvc5RQ1xnAizwyR
35.45796939,29c0ea7d93a2d7c1777461677e49af3a20ed65d077acc1590edcf35d766a7a30,36.17375887,99,df1qe9jjuelfjvkw6wx2h6jedtphvff3uayqsxsstp,df1qe9jjuelfjvkw6wx2h6jedtphvff3uayqsxsstp,2256119,d583a0111d5eb09a305ff6dfd73eb7d35c1cb3b25b6121443a9e28860a981f4e,5b3ae0ba0c425347b7d09c0adc8c9af2307dcb88513a2c41484519ef8d4d5d17,f394e08ef8a26fad14162f75166c77d059d253cf5cd177001c39b05611e1027d,0.71578948,71,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
27.60838784,29c0ea7d93a2d7c1777461677e49af3a20ed65d077acc1590edcf35d766a7a30,36.17375887,99,df1qs7uza0nxz9pq9tuwrh7dmslfkqs63aey7yeghv,df1qs7uza0nxz9pq9tuwrh7dmslfkqs63aey7yeghv,2256119,d583a0111d5eb09a305ff6dfd73eb7d35c1cb3b25b6121443a9e28860a981f4e,5b3ae0ba0c425347b7d09c0adc8c9af2307dcb88513a2c41484519ef8d4d5d17,7d17cb8209379ba87a7db90f482d37200fbc5a5f9a76e53996582c7920f4c45c,8.56537103,5,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
35.43674588,29c0ea7d93a2d7c1777461677e49af3a20ed65d077acc1590edcf35d766a7a30,36.17375887,99,dXqV51odFgQF4DBAZ4TMH1bhFDwejnyZGn,dXqV51odFgQF4DBAZ4TMH1bhFDwejnyZGn,2256119,d583a0111d5eb09a305ff6dfd73eb7d35c1cb3b25b6121443a9e28860a981f4e,5b3ae0ba0c425347b7d09c0adc8c9af2307dcb88513a2c41484519ef8d4d5d17,5c71ce085221279a8d92fb066915038da4e0817af8f8486e9df635c73b50f516,0.73701299,33,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
35.43674588,29c0ea7d93a2d7c1777461677e49af3a20ed65d077acc1590edcf35d766a7a30,36.17375887,99,dQdNjzzZwZB7gXRp4XL8sewkRSPSM5FBiQ,dQdNjzzZwZB7gXRp4XL8sewkRSPSM5FBiQ,2256119,d583a0111d5eb09a305ff6dfd73eb7d35c1cb3b25b6121443a9e28860a981f4e,5b3ae0ba0c425347b7d09c0adc8c9af2307dcb88513a2c41484519ef8d4d5d17,7946b33b01c8195643ddf03eb4617ebc16266e7177a26aec86e6342defc37308,0.73701299,27,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
35.43674588,29c0ea7d93a2d7c1777461677e49af3a20ed65d077acc1590edcf35d766a7a30,36.17375887,99,dHzPvW5xtxYetozyCmhZuh7ERzyY1NJjyC,dHzPvW5xtxYetozyCmhZuh7ERzyY1NJjyC,2256119,d583a0111d5eb09a305ff6dfd73eb7d35c1cb3b25b6121443a9e28860a981f4e,5b3ae0ba0c425347b7d09c0adc8c9af2307dcb88513a2c41484519ef8d4d5d17,e88bb94ed034a513d8dac784048095c26b7f25eeda7a5b9eef608595bb22308c,0.73701299,84,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
35.43674588,29c0ea7d93a2d7c1777461677e49af3a20ed65d077acc1590edcf35d766a7a30,36.17375887,99,dUhbTwhGNLKZLNxTFD8HFAEohWi7hvD7dd,dUhbTwhGNLKZLNxTFD8HFAEohWi7hvD7dd,2256119,d583a0111d5eb09a305ff6dfd73eb7d35c1cb3b25b6121443a9e28860a981f4e,5b3ae0ba0c425347b7d09c0adc8c9af2307dcb88513a2c41484519ef8d4d5d17,36c9f47386c86c26dcc0d3a163e15a0d0736c0feb2a9f1a960485b1c4cbd1d78,0.73701299,65,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
35.45897013,29c0ea7d93a2d7c1777461677e49af3a20ed65d077acc1590edcf35d766a7a30,36.17375887,99,df1qmxew6sphhnk7pwzun5vlwxm6w6d3qs5gtkc9wy,df1qmxew6sphhnk7pwzun5vlwxm6w6d3qs5gtkc9wy,2256119,d583a0111d5eb09a305ff6dfd73eb7d35c1cb3b25b6121443a9e28860a981f4e,5b3ae0ba0c425347b7d09c0adc8c9af2307dcb88513a2c41484519ef8d4d5d17,068fe2188310bf4fa984cf775d0293a9bf461e8eb8ce16bca90cc86d04524d57,0.71478874,55,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
35.45897013,29c0ea7d93a2d7c1777461677e49af3a20ed65d077acc1590edcf35d766a7a30,36.17375887,99,df1q4877gxkpdc58c8tsvtkmpkhf9ytvcnrg526474,df1q4877gxkpdc58c8tsvtkmpkhf9ytvcnrg526474,2256119,d583a0111d5eb09a305ff6dfd73eb7d35c1cb3b25b6121443a9e28860a981f4e,5b3ae0ba0c425347b7d09c0adc8c9af2307dcb88513a2c41484519ef8d4d5d17,1f7b7534097f36227f8feb3d80de93b7b537a5391822bf5ab7a8dba9ac2e49b6,0.71478874,97,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
33.21555951,29c0ea7d93a2d7c1777461677e49af3a20ed65d077acc1590edcf35d766a7a30,36.17375887,99,dQPWpwTnr9nNH73NhjSHmsa2htXfy8j2rU,dQPWpwTnr9nNH73NhjSHmsa2htXfy8j2rU,2256119,d583a0111d5eb09a305ff6dfd73eb7d35c1cb3b25b6121443a9e28860a981f4e,5b3ae0ba0c425347b7d09c0adc8c9af2307dcb88513a2c41484519ef8d4d5d17,55b9d2f4bfcec416e759966bde83a6b878ba603ac89962f019c7f7c02190ddee,2.95819936,9,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw,df1q9zn73ca4mt39qe76mkxa4vf4caqsxuhk8d9wgw
